title,release_date,genres,year,director
Psycho,1960-06-16,Drama Horror Thriller,1960,Unknown
My Best Friend's Girl,2008-09-19,Romance Comedy,2008,Unknown
Endless Love,2014-02-12,Drama Romance,2014,Unknown
Georgia Rule,2007-05-11,Comedy Drama Romance,2007,Unknown
Under the Rainbow,1981-07-31,Comedy,1981,Unknown
Ladyhawke,1985-03-27,Adventure Drama Fantasy Romance,1985,Unknown
Simon Birch,1998-09-11,Comedy Drama Family,1998,Unknown
Reign Over Me,2007-03-23,Drama,2007,Unknown
Into the Wild,2007-09-11,Adventure Drama,2007,Unknown
School for Scoundrels,2006-09-29,Comedy Drama Romance,2006,Unknown
Silent Hill: Revelation 3D,2012-10-10,Thriller Horror Mystery,2012,Unknown
From Dusk Till Dawn,1996-01-19,Horror Action Thriller Crime,1996,Unknown
Pooh's Heffalump Movie,2005-02-11,Animation Family,2005,Unknown
Home for the Holidays,1995-11-02,Comedy Drama Romance,1995,Unknown
Kung Fu Hustle,2004-02-10,Action Comedy Crime Fantasy,2004,Unknown
The Country Bears,2002-07-26,Adventure Comedy Family,2002,Unknown
The Kite Runner,2007-10-14,Drama,2007,Unknown
21 Grams,2003-09-06,Drama Crime Thriller,2003,Unknown
Paparazzi,2004-09-03,Action Drama Thriller,2004,Unknown
A Guy Thing,2003-01-17,Comedy Romance,2003,Unknown
Loser,2000-07-21,Drama Comedy Romance Family,2000,Unknown
Capitalism: A Love Story,2009-09-06,Documentary,2009,Unknown
The Greatest Story Ever Told,1965-02-15,Drama History,1965,Unknown
Secret in Their Eyes,2015-10-14,Crime Drama Mystery,2015,Unknown
Disaster Movie,2008-08-29,Action Comedy,2008,Unknown
Armored,2009-12-04,Action Crime Drama Thriller,2009,Unknown
The Man Who Knew Too Little,1997-11-14,Comedy Thriller Crime Action,1997,Unknown
What's Your Number?,2011-09-30,Comedy Romance,2011,Unknown
Lockout,2012-04-12,Action Thriller Science Fiction,2012,Unknown
Envy,2004-04-30,Comedy,2004,Unknown
Crank: High Voltage,2009-04-16,Action Thriller Crime,2009,Unknown
Bullets Over Broadway,1994-10-14,Action Comedy Thriller,1994,Unknown
One Night with the King,2006-10-13,Drama,2006,Unknown
The Quiet American,2002-11-22,Drama Action Thriller Romance,2002,Unknown
The Weather Man,2005-10-20,Comedy Drama,2005,Unknown
Undisputed,2002-08-23,Action Adventure Drama Thriller,2002,Unknown
Ghost Town,2008-09-19,Comedy Fantasy Romance,2008,Unknown
12 Rounds,2009-03-19,Action Adventure Drama Thriller,2009,Unknown
Let Me In,2010-10-01,Drama Horror Mystery,2010,Unknown
3 Ninjas Kick Back,1994-05-06,Adventure Action Comedy Family,1994,Unknown
Be Kind Rewind,2008-01-20,Drama Comedy,2008,Unknown
Mrs Henderson Presents,2005-09-09,Comedy Drama,2005,Unknown
Triple 9,2016-02-19,Action Thriller,2016,Unknown
Deconstructing Harry,1997-08-26,Comedy Drama,1997,Unknown
Three to Tango,1999-10-22,Comedy Romance,1999,Unknown
Burnt,2015-10-02,Drama,2015,Unknown
We're No Angels,1989-12-15,Comedy Crime Drama,1989,Unknown
Everyone Says I Love You,1996-12-06,Music Comedy Romance,1996,Unknown
Death Sentence,2007-08-31,Action Crime Drama Thriller,2007,Unknown
Everybody's Fine,2009-12-04,Drama,2009,Unknown
Superbabies: Baby Geniuses 2,2004-08-27,Comedy Family,2004,Unknown
The Man,2005-09-08,Action Comedy Crime,2005,Unknown
Code Name: The Cleaner,2007-01-05,Action Comedy Crime,2007,Unknown
Connie and Carla,2004-04-16,Comedy,2004,Unknown
Sweet Charity,1969-01-01,Comedy Drama Music Romance,1969,Unknown
Inherent Vice,2014-12-25,Comedy Romance Crime Drama Mystery,2014,Unknown
Doogal,2006-02-24,Family,2006,Unknown
Battle of the Year,2013-09-21,Music Drama,2013,Unknown
An American Carol,2008-10-03,Comedy Fantasy,2008,Unknown
Machete Kills,2013-09-12,Action Crime Thriller,2013,Unknown
Willard,2003-03-14,Horror,2003,Unknown
Strange Wilderness,2008-02-01,Comedy,2008,Unknown
Topsy-Turvy,1999-09-03,Comedy Drama Music,1999,Unknown
Little Boy,2015-04-23,Comedy Drama War,2015,Unknown
A Dangerous Method,2011-09-30,Drama Thriller,2011,Unknown
A Scanner Darkly,2006-05-25,Animation Science Fiction Thriller,2006,Unknown
Chasing Mavericks,2012-10-25,Drama,2012,Unknown
Alone in the Dark,2005-01-28,Action Fantasy Horror Thriller,2005,Unknown
Bandslam,2009-08-06,Comedy Drama Family Music,2009,Unknown
Birth,2004-09-08,Drama Mystery Thriller,2004,Unknown
A Most Violent Year,2014-12-30,Crime Drama Thriller,2014,Unknown
Passchendaele,2008-10-17,Drama Romance War History,2008,Unknown
Flash of Genius,2008-09-07,Drama,2008,Unknown
I'm Not There.,2007-10-01,Drama Music,2007,Unknown
The Cold Light of Day,2012-04-04,Action Thriller,2012,Unknown
The Brothers Bloom,2008-09-09,Adventure Comedy Drama Romance,2008,Unknown
"Synecdoche, New York",2008-10-24,Drama,2008,Unknown
Princess Mononoke,1997-07-12,Adventure Fantasy Animation,1997,Unknown
Bon voyage,2003-04-16,Comedy Drama Foreign,2003,Unknown
Can't Stop the Music,1980-06-20,Comedy Music,1980,Unknown
The Proposition,2005-10-06,Action Adventure Crime Drama Thriller Western,2005,Unknown
My All American,2015-11-13,Drama,2015,Unknown
Marci X,2003-08-22,Comedy,2003,Unknown
Equilibrium,2002-12-06,Action Science Fiction Thriller,2002,Unknown
The Children of Huang Shi,2008-07-03,Drama War,2008,Unknown
The Yards,2000-04-27,Drama Action Thriller Crime,2000,Unknown
The Oogieloves in the Big Balloon Adventure,2012-08-29,Family,2012,Unknown
By the Sea,2015-11-12,Drama Romance,2015,Unknown
Steamboy,2004-07-17,Animation Fantasy Science Fiction,2004,Unknown
The Game of Their Lives,2005-01-01,Drama,2005,Unknown
All Good Things,2010-12-03,Drama Mystery Thriller Crime Romance,2010,Unknown
Rapa Nui,1994-09-09,Adventure,1994,Unknown
CJ7,2008-01-30,Comedy Drama Family Fantasy Science Fiction,2008,Unknown
The Visitors II: The Corridors of Time,1998-02-11,Comedy Fantasy,1998,Unknown
Dylan Dog: Dead of Night,2011-03-16,Action Comedy Horror Mystery Science Fiction Thriller,2011,Unknown
People I Know,2002-11-21,Drama Thriller,2002,Unknown
The Tempest,2010-12-10,Drama Fantasy,2010,Unknown
Regression,2015-10-01,Horror Mystery Thriller,2015,Unknown
Three Kingdoms: Resurrection of the Dragon,2008-04-03,Action History Drama,2008,Unknown
Butterfly on a Wheel,2007-07-27,Crime Drama Thriller,2007,Unknown
Zambezia,2012-06-05,Comedy Animation Adventure Family,2012,Unknown
Ramanujan,2014-07-11,Drama History,2014,Unknown
Dwegons,2014-01-24,Animation,2014,Unknown
Hands of Stone,2016-08-26,Drama,2016,Unknown
Survivor,2015-05-21,Thriller,2015,Unknown
The Frozen Ground,2013-07-18,Thriller Crime,2013,Unknown
The Painted Veil,2006-12-09,Drama Romance,2006,Unknown
The Baader Meinhof Complex,2008-09-24,Action Crime Drama History Thriller,2008,Unknown
Dances with Wolves,1990-11-09,Adventure Drama Western,1990,Unknown
Bad Teacher,2011-05-16,Comedy,2011,Unknown
Sea of Love,1989-09-15,Drama Crime Mystery,1989,Unknown
A Cinderella Story,2004-07-10,Comedy,2004,Unknown
Scream,1996-12-20,Crime Horror Mystery,1996,Unknown
Thir13en Ghosts,2001-10-26,Horror Thriller,2001,Unknown
The Shining,1980-05-22,Horror Thriller,1980,Unknown
Back to the Future,1985-07-03,Adventure Comedy Science Fiction Family,1985,Unknown
House on Haunted Hill,1999-10-29,Horror Mystery Thriller,1999,Unknown
I Can Do Bad All By Myself,2009-09-11,Drama Comedy,2009,Unknown
Fight Valley,2016-07-22,Action Drama,2016,Unknown
The Switch,2010-05-11,Comedy Romance Drama,2010,Unknown
Just Married,2003-01-09,Comedy,2003,Unknown
The Devil's Double,2011-02-11,Drama Action Thriller Crime War,2011,Unknown
Thomas and the Magic Railroad,2000-07-26,Animation Drama Family Science Fiction,2000,Unknown
The Crazies,2010-02-26,Mystery Horror Action,2010,Unknown
Spirited Away,2001-07-20,Fantasy Adventure Animation Family,2001,Unknown
Firestorm,2013-12-12,Action Crime,2013,Unknown
The Bounty,1984-05-04,Action Drama History,1984,Unknown
The Book Thief,2013-11-08,Drama,2013,Unknown
Sex Drive,2008-10-16,Comedy Adventure Romance,2008,Unknown
Leap Year,2010-01-08,Romance Comedy,2010,Unknown
The Fall of the Roman Empire,1964-03-24,Drama History,1964,Unknown
Take Me Home Tonight,2011-03-04,Comedy Drama Romance,2011,Unknown
Won't Back Down,2012-09-28,Drama,2012,Unknown
The Nutcracker,1993-11-24,Family Fantasy Music,1993,Unknown
Kansas City,1996-08-16,Thriller Drama Music Crime,1996,Unknown
Indignation,2016-07-29,Drama,2016,Unknown
The Amityville Horror,2005-04-15,Horror Thriller Drama,2005,Unknown
Adaptation.,2002-12-06,Comedy Crime Drama,2002,Unknown
Land of the Dead,2005-06-24,Horror,2005,Unknown
Out of Inferno,2013-03-10,Action,2013,Unknown
Fear and Loathing in Las Vegas,1998-05-22,Adventure Drama Comedy,1998,Unknown
The Invention of Lying,2009-09-13,Comedy Romance Fantasy,2009,Unknown
Neighbors,2014-05-08,Comedy,2014,Unknown
The Mask,1994-07-29,Romance Comedy Crime Fantasy,1994,Unknown
Big,1988-06-03,Fantasy Drama Comedy Romance Family,1988,Unknown
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,Comedy,2006,Unknown
Legally Blonde,2001-07-13,Comedy,2001,Unknown
Star Trek III: The Search for Spock,1984-05-31,Science Fiction Action Adventure Thriller,1984,Unknown
The Exorcism of Emily Rose,2005-09-09,Crime Drama Horror Thriller,2005,Unknown
Deuce Bigalow: Male Gigolo,1999-12-10,Comedy,1999,Unknown
Left Behind,2014-10-03,Thriller Action Science Fiction,2014,Unknown
The Family Stone,2005-12-14,Comedy Drama Romance,2005,Unknown
Barbershop 2:  Back in Business,2004-01-20,Comedy Drama,2004,Unknown
Bad Santa,2003-11-26,Drama Comedy Crime,2003,Unknown
Austin Powers: International Man of Mystery,1997-05-02,Science Fiction Comedy Crime,1997,Unknown
My Big Fat Greek Wedding 2,2016-03-23,Romance Comedy Family,2016,Unknown
Diary of a Wimpy Kid: Rodrick Rules,2011-03-25,Family Comedy,2011,Unknown
Predator,1987-06-11,Science Fiction Action Adventure Thriller,1987,Unknown
Amadeus,1984-10-26,Drama History Music,1984,Unknown
Prom Night,2008-04-10,Crime Horror,2008,Unknown
Mean Girls,2004-04-30,Comedy,2004,Unknown
Under the Tuscan Sun,2003-04-30,Comedy Drama Romance,2003,Unknown
Gosford Park,2001-11-07,Drama Mystery Thriller,2001,Unknown
Peggy Sue Got Married,1986-10-05,Comedy Drama Fantasy Romance,1986,Unknown
Birdman,2014-08-27,Drama Comedy,2014,Unknown
Blue Jasmine,2013-07-25,Comedy Drama,2013,Unknown
United 93,2006-04-28,Drama History Crime Thriller Action,2006,Unknown
Honey,2003-11-24,Romance Music Family,2003,Unknown
Spy Hard,1996-05-24,Action Comedy,1996,Unknown
The Fog,1980-02-08,Horror,1980,Unknown
Soul Surfer,2011-04-08,Action Drama,2011,Unknown
Catch-22,1970-06-24,War Comedy Drama,1970,Unknown
Observe and Report,2009-04-10,Comedy Crime Drama,2009,Unknown
Conan the Destroyer,1984-06-29,Adventure Fantasy Action,1984,Unknown
Raging Bull,1980-11-14,Drama,1980,Unknown
Love Happens,2009-09-18,Drama Romance,2009,Unknown
Young Sherlock Holmes,1985-12-04,Action Adventure Crime Drama Family Mystery Thriller,1985,Unknown
Fame,2009-01-01,Music Comedy Drama Romance,2009,Unknown
127 Hours,2010-11-05,Adventure Drama Thriller,2010,Unknown
Small Time Crooks,2000-05-19,Action Comedy Crime,2000,Unknown
Center Stage,2000-05-12,Drama Music,2000,Unknown
Love the Coopers,2015-11-12,Comedy Family,2015,Unknown
Catch That Kid,2004-02-06,Family Action Adventure,2004,Unknown
Life as a House,2001-10-25,Drama,2001,Unknown
Steve Jobs,2015-10-09,Drama History,2015,Unknown
"I Love You, Beth Cooper",2009-07-10,Comedy Romance,2009,Unknown
Youth in Revolt,2009-09-11,Drama Comedy Romance,2009,Unknown
The Legend of the Lone Ranger,1981-08-20,Action Adventure Romance Western,1981,Unknown
The Tailor of Panama,2001-02-11,Drama Thriller,2001,Unknown
Blow Out,1981-07-24,Drama Mystery Thriller,1981,Unknown
Getaway,2013-08-29,Action Crime,2013,Unknown
The Ice Storm,1997-09-27,Drama,1997,Unknown
And So It Goes,2014-07-20,Comedy Drama Romance,2014,Unknown
Troop Beverly Hills,1989-03-22,Adventure Comedy Family,1989,Unknown
Being Julia,2004-09-03,Comedy Drama Romance,2004,Unknown
Nine 1/2 Weeks,1986-02-14,Drama Romance,1986,Unknown
Dragonslayer,1981-06-26,Fantasy,1981,Unknown
The Last Station,2009-09-04,Drama Romance,2009,Unknown
Ed Wood,1994-09-27,Comedy Drama History,1994,Unknown
Labor Day,2013-12-27,Drama,2013,Unknown
Mongol: The Rise of Genghis Khan,2007-09-20,History,2007,Unknown
RockNRolla,2008-09-04,Action Crime Thriller,2008,Unknown
Megaforce,1982-06-25,Adventure Action Science Fiction,1982,Unknown
Hamlet,1996-12-25,Drama,1996,Unknown
Mao's Last Dancer,2009-10-01,Drama Romance,2009,Unknown
Midnight Special,2016-02-18,Adventure Drama Science Fiction,2016,Unknown
Anything Else,2003-08-27,Comedy Romance,2003,Unknown
The Railway Man,2013-12-26,Drama History,2013,Unknown
The White Ribbon,2009-05-21,Crime Drama Mystery,2009,Unknown
Restoration,2016-05-03,Horror,2016,Unknown
The Wraith,1986-11-21,Romance Science Fiction Horror Action Crime,1986,Unknown
Salton Sea,2002-01-01,Drama Mystery Thriller,2002,Unknown
Metallica: Through the Never,2013-09-25,Music,2013,Unknown
The Informers,2008-11-05,Drama,2008,Unknown
Carlos,2010-05-19,Crime Drama Thriller History,2010,Unknown
I Come with the Rain,2009-05-14,Thriller Drama,2009,Unknown
One Man's Hero,1999-08-02,Western Action Drama History,1999,Unknown
Day of the Dead,1985-07-19,Horror Science Fiction,1985,Unknown
I Am Wrath,2016-04-14,Action Crime Drama Thriller,2016,Unknown
Renaissance,2006-03-16,Action Animation Science Fiction,2006,Unknown
Red Sonja,1985-04-09,Adventure Fantasy Action,1985,Unknown
Red Lights,2012-03-02,Thriller,2012,Unknown
Superbad,2007-08-17,Comedy,2007,Unknown
Madea Goes to Jail,2009-02-16,Comedy Crime Drama,2009,Unknown
Wolves,2014-08-28,Horror Action,2014,Unknown
Step Up 2: The Streets,2008-02-14,Music Drama Romance,2008,Unknown
Hoodwinked!,2005-12-16,Animation Comedy Family,2005,Unknown
Hotel Rwanda,2004-09-11,Drama History War,2004,Unknown
Hitman,2007-11-21,Action Crime Drama Thriller,2007,Unknown
Black Nativity,2013-11-27,Drama Music,2013,Unknown
The Prince,2014-08-22,Thriller Action,2014,Unknown
City of Ghosts,2002-01-01,Thriller,2002,Unknown
The Others,2001-08-02,Horror Drama Mystery Thriller,2001,Unknown
Aliens,1986-07-18,Horror Action Thriller Science Fiction,1986,Unknown
My Fair Lady,1964-10-21,Drama Family Music Romance,1964,Unknown
I Know What You Did Last Summer,1997-10-17,Horror Thriller Mystery,1997,Unknown
Let's Be Cops,2014-08-13,Comedy,2014,Unknown
Sideways,2004-10-22,Comedy Drama Romance,2004,Unknown
Beerfest,2006-08-25,Comedy,2006,Unknown
Halloween,1978-10-25,Horror Thriller,1978,Unknown
Good Boy!,2003-10-10,Comedy Family Science Fiction,2003,Unknown
The Best Man Holiday,2013-11-15,Comedy,2013,Unknown
Smokin' Aces,2006-12-09,Action Comedy Crime Thriller,2006,Unknown
Saw: The Final Chapter,2010-10-21,Horror Crime,2010,Unknown
40 Days and 40 Nights,2002-03-01,Comedy Romance,2002,Unknown
A Night at the Roxbury,1998-10-01,Comedy,1998,Unknown
Beastly,2011-01-21,Drama Fantasy Romance,2011,Unknown
The Hills Have Eyes,2006-03-10,Horror Thriller,2006,Unknown
Dickie Roberts: Former Child Star,2003-09-05,Comedy,2003,Unknown
"McFarland, USA",2015-02-20,Drama,2015,Unknown
Lottery Ticket,2010-08-20,Comedy,2010,Unknown
ATL,2006-03-31,Drama,2006,Unknown
Pitch Perfect,2012-09-28,Comedy Music Romance,2012,Unknown
Summer Catch,2001-08-22,Drama Comedy Romance,2001,Unknown
A Simple Plan,1998-12-11,Drama Crime Thriller,1998,Unknown
They,2002-11-01,Horror Thriller,2002,Unknown
Larry the Cable Guy: Health Inspector,2006-03-24,Comedy,2006,Unknown
The Adventures of Elmo in Grouchland,1999-10-01,Family,1999,Unknown
Brooklyn's Finest,2009-01-16,Crime Drama Thriller,2009,Unknown
55 Days at Peking,1963-05-06,Action Drama History,1963,Unknown
Evil Dead,2013-04-05,Horror,2013,Unknown
My Life in Ruins,2009-02-06,Comedy Romance,2009,Unknown
American Dreamz,2006-03-04,Comedy Drama Family,2006,Unknown
Superman IV: The Quest for Peace,1987-07-23,Action Adventure Science Fiction,1987,Unknown
How She Move,2008-01-25,Drama,2008,Unknown
Running Scared,2006-01-06,Action Crime Drama Thriller,2006,Unknown
Bobby Jones: Stroke of Genius,2004-04-30,Drama,2004,Unknown
Shanghai Surprise,1986-08-29,Adventure,1986,Unknown
The Illusionist,2006-08-18,Fantasy Drama Thriller Romance,2006,Unknown
Roar,1981-11-12,Adventure Thriller,1981,Unknown
Veronica Guerin,2003-07-11,Drama Crime Thriller,2003,Unknown
Escobar: Paradise Lost,2014-10-11,Thriller Romance,2014,Unknown
Southland Tales,2006-05-15,Action Adventure Comedy Drama Science Fiction Thriller,2006,Unknown
Dragon Hunters,2008-03-19,Animation Family,2008,Unknown
Damnation Alley,1977-09-10,Action Adventure Science Fiction,1977,Unknown
The Apparition,2012-08-23,Horror Thriller,2012,Unknown
My Girl,1991-11-27,Comedy Drama Family,1991,Unknown
Fur: An Imaginary Portrait of Diane Arbus,2006-08-30,Drama Mystery Romance,2006,Unknown
Wall Street,1987-12-10,Crime Drama,1987,Unknown
Sense and Sensibility,1995-12-13,Drama Romance,1995,Unknown
Becoming Jane,2007-03-02,Drama Romance,2007,Unknown
Sydney White,2007-09-21,Comedy,2007,Unknown
House of Sand and Fog,2003-12-19,Drama,2003,Unknown
Dead Poets Society,1989-06-02,Drama,1989,Unknown
Dumb and Dumber,1994-12-16,Comedy,1994,Unknown
When Harry Met Sally...,1989-07-21,Comedy Romance Drama,1989,Unknown
The Verdict,1982-12-08,Drama,1982,Unknown
Road Trip,2000-05-19,Comedy Adventure,2000,Unknown
Varsity Blues,1999-01-15,Comedy Drama Romance,1999,Unknown
The Artist,2011-05-15,Drama Comedy Romance,2011,Unknown
The Unborn,2009-01-09,Horror Thriller Mystery,2009,Unknown
Moonrise Kingdom,2012-05-16,Comedy Drama Romance,2012,Unknown
The Texas Chainsaw Massacre: The Beginning,2006-10-06,Horror,2006,Unknown
The Young Messiah,2016-03-10,Drama,2016,Unknown
The Master of Disguise,2002-08-02,Comedy Family,2002,Unknown
Pan's Labyrinth,2006-05-27,Fantasy Drama War,2006,Unknown
See Spot Run,2001-03-02,Action Comedy Family,2001,Unknown
Baby Boy,2001-06-27,Crime Drama Romance,2001,Unknown
The Roommate,2011-02-04,Thriller Drama Horror,2011,Unknown
Joe Dirt,2001-04-10,Mystery Adventure Comedy Romance Drama,2001,Unknown
Double Impact,1991-08-10,Thriller Action Crime Drama,1991,Unknown
Hot Fuzz,2007-02-14,Crime Action Comedy,2007,Unknown
The Women,2008-09-12,Comedy Drama Romance,2008,Unknown
Vicky Cristina Barcelona,2008-08-15,Drama Romance,2008,Unknown
Arn: The Knight Templar,2007-12-17,Action Adventure Drama Romance,2007,Unknown
Boys and Girls,2000-06-16,Comedy Drama Romance,2000,Unknown
White Oleander,2002-10-11,Drama,2002,Unknown
Jennifer's Body,2009-09-18,Comedy Horror,2009,Unknown
Drowning Mona,2000-03-03,Comedy Crime Mystery,2000,Unknown
Radio Days,1987-01-30,Comedy Drama,1987,Unknown
Remember Me,2010-03-12,Drama Romance,2010,Unknown
How to Deal,2003-07-18,Drama Comedy Romance,2003,Unknown
My Stepmother is an Alien,1988-12-09,Comedy Science Fiction,1988,Unknown
Philadelphia,1993-12-22,Drama,1993,Unknown
The Thirteenth Floor,1999-04-16,Thriller Science Fiction Mystery,1999,Unknown
The Cookout,2004-09-03,Comedy Drama,2004,Unknown
Meteor,1979-10-19,Action Science Fiction Thriller,1979,Unknown
Duets,2000-09-09,Comedy Drama Music,2000,Unknown
Hollywood Ending,2002-05-03,Comedy Drama,2002,Unknown
Detroit Rock City,1999-08-13,Comedy Music,1999,Unknown
Highlander,1986-03-07,Adventure Action Fantasy,1986,Unknown
Things We Lost in the Fire,2007-09-26,Drama,2007,Unknown
Steel,1997-08-15,Science Fiction Action Adventure,1997,Unknown
The Immigrant,2013-07-03,Drama Romance,2013,Unknown
The White Countess,2005-10-30,Drama History Family Romance,2005,Unknown
Trance,2013-03-27,Thriller Crime Drama Mystery,2013,Unknown
Soul Plane,2004-05-28,Romance Comedy,2004,Unknown
Welcome to the Sticks,2008-01-09,Comedy,2008,Unknown
Good,2008-12-11,Drama,2008,Unknown
Enter the Void,2009-05-05,Fantasy Drama,2009,Unknown
Vamps,2012-08-25,Comedy Romance Horror,2012,Unknown
Hachi: A Dog's Tale,2009-06-13,Drama Family,2009,Unknown
Zulu,2013-12-04,Crime Drama Thriller,2013,Unknown
The Homesman,2014-05-18,Western Drama,2014,Unknown
Juwanna Mann,2002-06-21,Comedy Drama,2002,Unknown
Ararat,2002-05-20,War Drama,2002,Unknown
Madison,2001-01-23,Action Adventure Drama,2001,Unknown
Slow Burn,2005-09-12,Mystery Crime Drama Thriller,2005,Unknown
Wasabi,2001-10-31,Drama Action Comedy,2001,Unknown
Slither,2006-03-31,Comedy Horror Science Fiction,2006,Unknown
Beverly Hills Cop,1984-11-29,Action Comedy Crime,1984,Unknown
Home Alone,1990-11-09,Comedy Family,1990,Unknown
Three Men and a Baby,1987-11-27,Family Comedy Drama,1987,Unknown
Tootsie,1982-12-16,Comedy Romance,1982,Unknown
Top Gun,1986-05-16,Action Romance War,1986,Unknown
"Crouching Tiger, Hidden Dragon",2000-10-01,Adventure Drama Action Romance,2000,Unknown
American Beauty,1999-09-15,Drama,1999,Unknown
The King's Speech,2010-09-06,Drama History,2010,Unknown
Twins,1988-12-09,Comedy,1988,Unknown
The Yellow Handkerchief,2008-12-17,Drama Romance,2008,Unknown
The Color Purple,1985-12-18,Drama,1985,Unknown
Tidal Wave,2009-06-06,Action Adventure Drama Thriller,2009,Unknown
The Imitation Game,2014-11-14,History Drama Thriller War,2014,Unknown
Private Benjamin,1980-10-06,Comedy,1980,Unknown
Coal Miner's Daughter,1980-03-07,Drama Music,1980,Unknown
Diary of a Wimpy Kid,2010-03-19,Comedy Family,2010,Unknown
Mama,2013-01-17,Horror,2013,Unknown
National Lampoon's Vacation,1983-07-28,Comedy Adventure Romance,1983,Unknown
Bad Grandpa,2013-10-22,Comedy,2013,Unknown
The Queen,2006-09-15,Drama,2006,Unknown
Beetlejuice,1988-02-29,Fantasy Comedy,1988,Unknown
Why Did I Get Married?,2007-10-12,Comedy Drama,2007,Unknown
Little Women,1994-12-21,Drama Romance,1994,Unknown
The Woman in Black,2012-02-01,Drama Horror Thriller,2012,Unknown
When a Stranger Calls,2006-02-03,Horror Thriller,2006,Unknown
Big Fat Liar,2002-02-08,Comedy Family,2002,Unknown
The Deer Hunter,1978-12-08,Drama War,1978,Unknown
Wag the Dog,1997-12-25,Comedy Drama,1997,Unknown
The Lizzie McGuire Movie,2003-04-25,Family Comedy,2003,Unknown
Snitch,2013-02-21,Thriller Drama,2013,Unknown
Krampus,2015-11-26,Horror Comedy Fantasy,2015,Unknown
The Faculty,1998-12-25,Horror Mystery Science Fiction,1998,Unknown
What's Love Got to Do with It,1993-06-09,Drama Music,1993,Unknown
Cop Land,1997-08-15,Action Crime Drama,1997,Unknown
Not Another Teen Movie,2001-12-07,Comedy,2001,Unknown
End of Watch,2012-09-20,Crime Drama Thriller,2012,Unknown
The Skulls,2000-03-31,Crime Drama Thriller,2000,Unknown
The Theory of Everything,2014-11-26,Drama Romance,2014,Unknown
Malibu's Most Wanted,2003-04-10,Comedy Crime,2003,Unknown
Where the Heart Is,2000-04-27,Comedy Drama Romance,2000,Unknown
Lawrence of Arabia,1962-12-10,Adventure Drama History War,1962,Unknown
Halloween II,2009-08-28,Horror,2009,Unknown
Wild,2014-12-05,Drama,2014,Unknown
The Last House on the Left,2009-03-13,Crime Thriller Horror Drama,2009,Unknown
The Wedding Date,2005-02-04,Comedy Romance,2005,Unknown
Halloween: Resurrection,2002-07-01,Horror Thriller,2002,Unknown
The Princess Bride,1987-09-18,Adventure Family Fantasy Comedy Romance,1987,Unknown
The Great Debaters,2007-12-27,Drama,2007,Unknown
Drive,2011-08-06,Drama Action Thriller Crime,2011,Unknown
Confessions of a Teenage Drama Queen,2004-02-17,Comedy,2004,Unknown
The Object of My Affection,1998-04-17,Comedy Drama Romance,1998,Unknown
28 Weeks Later,2007-04-26,Horror Thriller Science Fiction,2007,Unknown
When the Game Stands Tall,2014-08-22,Drama,2014,Unknown
Because of Winn-Dixie,2005-02-18,Comedy Drama Family,2005,Unknown
Love & Basketball,2000-04-21,Action Comedy Drama Romance,2000,Unknown
Grosse Pointe Blank,1997-04-11,Action Comedy Thriller Romance,1997,Unknown
All About Steve,2009-09-04,Comedy,2009,Unknown
Book of Shadows: Blair Witch 2,2000-10-27,Mystery Thriller Horror,2000,Unknown
The Craft,1996-05-03,Drama Fantasy Horror Thriller,1996,Unknown
Match Point,2005-10-26,Drama Thriller Crime Romance,2005,Unknown
Ramona and Beezus,2010-07-23,Comedy Family,2010,Unknown
The Remains of the Day,1993-11-05,Drama Romance,1993,Unknown
Boogie Nights,1997-09-11,Drama,1997,Unknown
Nowhere to Run,1993-01-15,Action Adventure Drama Thriller,1993,Unknown
Flicka,2006-10-20,Drama,2006,Unknown
The Hills Have Eyes 2,2007-03-22,Horror Thriller,2007,Unknown
Urban Legends: Final Cut,2000-09-19,Horror,2000,Unknown
Tuck Everlasting,2002-10-11,Fantasy Drama Science Fiction Romance Family,2002,Unknown
The Marine,2006-10-13,Action Adventure Drama Thriller,2006,Unknown
Keanu,2016-04-21,Action Comedy,2016,Unknown
Country Strong,2010-12-22,Drama Romance,2010,Unknown
Disturbing Behavior,1998-07-24,Mystery Horror Science Fiction,1998,Unknown
The Place Beyond the Pines,2013-03-20,Drama Crime,2013,Unknown
The November Man,2014-08-27,Crime Action Thriller,2014,Unknown
Eye of the Beholder,1999-09-04,Drama Mystery Thriller,1999,Unknown
The Hurt Locker,2008-10-10,Drama Thriller War,2008,Unknown
Firestarter,1984-05-11,Fantasy Drama Horror Action Thriller,1984,Unknown
Killing Them Softly,2012-09-20,Crime Thriller,2012,Unknown
A Most Wanted Man,2014-07-25,Thriller,2014,Unknown
Freddy Got Fingered,2001-04-18,Comedy,2001,Unknown
VeggieTales: The Pirates Who Don't Do Anything,2008-01-11,Adventure Animation Comedy Science Fiction Family,2008,Unknown
U2 3D,2007-05-19,Music Documentary,2007,Unknown
Highlander: Endgame,2000-09-01,Action Fantasy Science Fiction,2000,Unknown
Idlewild,2006-08-25,Crime Drama Music,2006,Unknown
One Day,2011-03-02,Drama Romance,2011,Unknown
Whip It,2009-09-13,Drama,2009,Unknown
Knockaround Guys,2001-09-07,Crime Thriller,2001,Unknown
Confidence,2003-04-25,Action Comedy Thriller Crime,2003,Unknown
The Muse,1999-08-27,Fantasy Comedy,1999,Unknown
