title,year,genres,keywords,cast,director,overview
Star Wars: Episode VI - Return of the Jedi,1989,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_294_A Actor_294_B Actor_294_C,Director_294,A compelling story titled 'Star Wars: Episode VI - Return of the Jedi' that explores themes of sci-fi and human nature.
Star Wars: The Force Awakens,1990,Drama Mystery Thriller,drama legacy destiny redemption,Actor_295_A Actor_295_B Actor_295_C,Director_295,A compelling story titled 'Star Wars: The Force Awakens' that explores themes of drama and human nature.
Straight Outta Compton,1991,Action Crime Drama,action legacy destiny redemption,Actor_296_A Actor_296_B Actor_296_C,Director_296,A compelling story titled 'Straight Outta Compton' that explores themes of action and human nature.
Sunset Blvd.,1992,Comedy Drama Romance,comedy legacy destiny redemption,Actor_297_A Actor_297_B Actor_297_C,Director_297,A compelling story titled 'Sunset Blvd.' that explores themes of comedy and human nature.
Sympathy for Mr. Vengeance,1993,Crime Mystery Thriller,crime legacy destiny redemption,Actor_298_A Actor_298_B Actor_298_C,Director_298,A compelling story titled 'Sympathy for Mr. Vengeance' that explores themes of crime and human nature.
Tangled,1994,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_299_A Actor_299_B Actor_299_C,Director_299,A compelling story titled 'Tangled' that explores themes of adventure and human nature.
Tati,1995,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_300_A Actor_300_B Actor_300_C,Director_300,A compelling story titled 'Tati' that explores themes of sci-fi and human nature.
Taxi Driver,1996,Drama Mystery Thriller,drama legacy destiny redemption,Actor_301_A Actor_301_B Actor_301_C,Director_301,A compelling story titled 'Taxi Driver' that explores themes of drama and human nature.
Tenet,1997,Action Crime Drama,action legacy destiny redemption,Actor_302_A Actor_302_B Actor_302_C,Director_302,A compelling story titled 'Tenet' that explores themes of action and human nature.
Terminator 2: Judgment Day,1998,Comedy Drama Romance,comedy legacy destiny redemption,Actor_303_A Actor_303_B Actor_303_C,Director_303,A compelling story titled 'Terminator 2: Judgment Day' that explores themes of comedy and human nature.
The 400 Blows,1999,Crime Mystery Thriller,crime legacy destiny redemption,Actor_304_A Actor_304_B Actor_304_C,Director_304,A compelling story titled 'The 400 Blows' that explores themes of crime and human nature.
The African Queen,2000,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_305_A Actor_305_B Actor_305_C,Director_305,A compelling story titled 'The African Queen' that explores themes of adventure and human nature.
The Apartment,2001,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_306_A Actor_306_B Actor_306_C,Director_306,A compelling story titled 'The Apartment' that explores themes of sci-fi and human nature.
The Avengers,2002,Drama Mystery Thriller,drama legacy destiny redemption,Actor_307_A Actor_307_B Actor_307_C,Director_307,A compelling story titled 'The Avengers' that explores themes of drama and human nature.
The Aviator,2003,Action Crime Drama,action legacy destiny redemption,Actor_308_A Actor_308_B Actor_308_C,Director_308,A compelling story titled 'The Aviator' that explores themes of action and human nature.
The Banshees of Inisherin,2004,Comedy Drama Romance,comedy legacy destiny redemption,Actor_309_A Actor_309_B Actor_309_C,Director_309,A compelling story titled 'The Banshees of Inisherin' that explores themes of comedy and human nature.
The Batman,2005,Crime Mystery Thriller,crime legacy destiny redemption,Actor_310_A Actor_310_B Actor_310_C,Director_310,A compelling story titled 'The Batman' that explores themes of crime and human nature.
The Big Lebowski,2006,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_311_A Actor_311_B Actor_311_C,Director_311,A compelling story titled 'The Big Lebowski' that explores themes of adventure and human nature.
The Big Short,2007,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_312_A Actor_312_B Actor_312_C,Director_312,A compelling story titled 'The Big Short' that explores themes of sci-fi and human nature.
The Big Sleep,2008,Drama Mystery Thriller,drama legacy destiny redemption,Actor_313_A Actor_313_B Actor_313_C,Director_313,A compelling story titled 'The Big Sleep' that explores themes of drama and human nature.
The Boat,2009,Action Crime Drama,action legacy destiny redemption,Actor_314_A Actor_314_B Actor_314_C,Director_314,A compelling story titled 'The Boat' that explores themes of action and human nature.
The Bourne Identity,2010,Comedy Drama Romance,comedy legacy destiny redemption,Actor_315_A Actor_315_B Actor_315_C,Director_315,A compelling story titled 'The Bourne Identity' that explores themes of comedy and human nature.
The Bourne Legacy,2011,Crime Mystery Thriller,crime legacy destiny redemption,Actor_316_A Actor_316_B Actor_316_C,Director_316,A compelling story titled 'The Bourne Legacy' that explores themes of crime and human nature.
The Bourne Supremacy,2012,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_317_A Actor_317_B Actor_317_C,Director_317,A compelling story titled 'The Bourne Supremacy' that explores themes of adventure and human nature.
The Bourne Ultimatum,2013,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_318_A Actor_318_B Actor_318_C,Director_318,A compelling story titled 'The Bourne Ultimatum' that explores themes of sci-fi and human nature.
The Bridge on the River Kwai,2014,Drama Mystery Thriller,drama legacy destiny redemption,Actor_319_A Actor_319_B Actor_319_C,Director_319,A compelling story titled 'The Bridge on the River Kwai' that explores themes of drama and human nature.
The Circus,2015,Action Crime Drama,action legacy destiny redemption,Actor_320_A Actor_320_B Actor_320_C,Director_320,A compelling story titled 'The Circus' that explores themes of action and human nature.
The Dark Knight,2016,Comedy Drama Romance,comedy legacy destiny redemption,Actor_321_A Actor_321_B Actor_321_C,Director_321,A compelling story titled 'The Dark Knight' that explores themes of comedy and human nature.
The Dark Knight Rises,2017,Crime Mystery Thriller,crime legacy destiny redemption,Actor_322_A Actor_322_B Actor_322_C,Director_322,A compelling story titled 'The Dark Knight Rises' that explores themes of crime and human nature.
The Deer Hunter,2018,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_323_A Actor_323_B Actor_323_C,Director_323,A compelling story titled 'The Deer Hunter' that explores themes of adventure and human nature.
The Departed,2019,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_324_A Actor_324_B Actor_324_C,Director_324,A compelling story titled 'The Departed' that explores themes of sci-fi and human nature.
The Elephant Man,2020,Drama Mystery Thriller,drama legacy destiny redemption,Actor_325_A Actor_325_B Actor_325_C,Director_325,A compelling story titled 'The Elephant Man' that explores themes of drama and human nature.
The Fabelmans,2021,Action Crime Drama,action legacy destiny redemption,Actor_326_A Actor_326_B Actor_326_C,Director_326,A compelling story titled 'The Fabelmans' that explores themes of action and human nature.
The Fate of the Furious,2022,Comedy Drama Romance,comedy legacy destiny redemption,Actor_327_A Actor_327_B Actor_327_C,Director_327,A compelling story titled 'The Fate of the Furious' that explores themes of comedy and human nature.
The Father,2023,Crime Mystery Thriller,crime legacy destiny redemption,Actor_328_A Actor_328_B Actor_328_C,Director_328,A compelling story titled 'The Father' that explores themes of crime and human nature.
The French Dispatch,2024,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_329_A Actor_329_B Actor_329_C,Director_329,A compelling story titled 'The French Dispatch' that explores themes of adventure and human nature.
The General,1970,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_330_A Actor_330_B Actor_330_C,Director_330,A compelling story titled 'The General' that explores themes of sci-fi and human nature.
The Girl with the Dragon Tattoo,1971,Drama Mystery Thriller,drama legacy destiny redemption,Actor_331_A Actor_331_B Actor_331_C,Director_331,A compelling story titled 'The Girl with the Dragon Tattoo' that explores themes of drama and human nature.
The Godfather,1972,Action Crime Drama,action legacy destiny redemption,Actor_332_A Actor_332_B Actor_332_C,Director_332,A compelling story titled 'The Godfather' that explores themes of action and human nature.
The Godfather Part II,1973,Comedy Drama Romance,comedy legacy destiny redemption,Actor_333_A Actor_333_B Actor_333_C,Director_333,A compelling story titled 'The Godfather Part II' that explores themes of comedy and human nature.
The Godfather Part III,1974,Crime Mystery Thriller,crime legacy destiny redemption,Actor_334_A Actor_334_B Actor_334_C,Director_334,A compelling story titled 'The Godfather Part III' that explores themes of crime and human nature.
The Gold Rush,1975,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_335_A Actor_335_B Actor_335_C,Director_335,A compelling story titled 'The Gold Rush' that explores themes of adventure and human nature.
"The Good, the Bad and the Ugly",1976,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_336_A Actor_336_B Actor_336_C,Director_336,"A compelling story titled 'The Good, the Bad and the Ugly' that explores themes of sci-fi and human nature."
The Graduate,1977,Drama Mystery Thriller,drama legacy destiny redemption,Actor_337_A Actor_337_B Actor_337_C,Director_337,A compelling story titled 'The Graduate' that explores themes of drama and human nature.
The Grand Budapest Hotel,1978,Action Crime Drama,action legacy destiny redemption,Actor_338_A Actor_338_B Actor_338_C,Director_338,A compelling story titled 'The Grand Budapest Hotel' that explores themes of action and human nature.
The Grandmaster,1979,Comedy Drama Romance,comedy legacy destiny redemption,Actor_339_A Actor_339_B Actor_339_C,Director_339,A compelling story titled 'The Grandmaster' that explores themes of comedy and human nature.
The Grapes of Wrath,1980,Crime Mystery Thriller,crime legacy destiny redemption,Actor_340_A Actor_340_B Actor_340_C,Director_340,A compelling story titled 'The Grapes of Wrath' that explores themes of crime and human nature.
The Great Dictator,1981,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_341_A Actor_341_B Actor_341_C,Director_341,A compelling story titled 'The Great Dictator' that explores themes of adventure and human nature.
The Great Escape,1982,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_342_A Actor_342_B Actor_342_C,Director_342,A compelling story titled 'The Great Escape' that explores themes of sci-fi and human nature.
The Green Mile,1983,Drama Mystery Thriller,drama legacy destiny redemption,Actor_343_A Actor_343_B Actor_343_C,Director_343,A compelling story titled 'The Green Mile' that explores themes of drama and human nature.
The Handmaiden,1984,Action Crime Drama,action legacy destiny redemption,Actor_344_A Actor_344_B Actor_344_C,Director_344,A compelling story titled 'The Handmaiden' that explores themes of action and human nature.
The Hateful Eight,1985,Comedy Drama Romance,comedy legacy destiny redemption,Actor_345_A Actor_345_B Actor_345_C,Director_345,A compelling story titled 'The Hateful Eight' that explores themes of comedy and human nature.
The Hobbit: An Unexpected Journey,1986,Crime Mystery Thriller,crime legacy destiny redemption,Actor_346_A Actor_346_B Actor_346_C,Director_346,A compelling story titled 'The Hobbit: An Unexpected Journey' that explores themes of crime and human nature.
The Hobbit: The Battle of the Five Armies,1987,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_347_A Actor_347_B Actor_347_C,Director_347,A compelling story titled 'The Hobbit: The Battle of the Five Armies' that explores themes of adventure and human nature.
The Hobbit: The Desolation of Smaug,1988,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_348_A Actor_348_B Actor_348_C,Director_348,A compelling story titled 'The Hobbit: The Desolation of Smaug' that explores themes of sci-fi and human nature.
The Host,1989,Drama Mystery Thriller,drama legacy destiny redemption,Actor_349_A Actor_349_B Actor_349_C,Director_349,A compelling story titled 'The Host' that explores themes of drama and human nature.
The Hunger Games,1990,Action Crime Drama,action legacy destiny redemption,Actor_350_A Actor_350_B Actor_350_C,Director_350,A compelling story titled 'The Hunger Games' that explores themes of action and human nature.
The Hunger Games: Catching Fire,1991,Comedy Drama Romance,comedy legacy destiny redemption,Actor_351_A Actor_351_B Actor_351_C,Director_351,A compelling story titled 'The Hunger Games: Catching Fire' that explores themes of comedy and human nature.
The Hunger Games: Mockingjay - Part 1,1992,Crime Mystery Thriller,crime legacy destiny redemption,Actor_352_A Actor_352_B Actor_352_C,Director_352,A compelling story titled 'The Hunger Games: Mockingjay - Part 1' that explores themes of crime and human nature.
The Hunger Games: Mockingjay - Part 2,1993,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_353_A Actor_353_B Actor_353_C,Director_353,A compelling story titled 'The Hunger Games: Mockingjay - Part 2' that explores themes of adventure and human nature.
The Hunt,1994,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_354_A Actor_354_B Actor_354_C,Director_354,A compelling story titled 'The Hunt' that explores themes of sci-fi and human nature.
The Hustler,1995,Drama Mystery Thriller,drama legacy destiny redemption,Actor_355_A Actor_355_B Actor_355_C,Director_355,A compelling story titled 'The Hustler' that explores themes of drama and human nature.
The Idle Class,1996,Action Crime Drama,action legacy destiny redemption,Actor_356_A Actor_356_B Actor_356_C,Director_356,A compelling story titled 'The Idle Class' that explores themes of action and human nature.
The Imitation Game,1997,Comedy Drama Romance,comedy legacy destiny redemption,Actor_357_A Actor_357_B Actor_357_C,Director_357,A compelling story titled 'The Imitation Game' that explores themes of comedy and human nature.
The Incredibles,1998,Crime Mystery Thriller,crime legacy destiny redemption,Actor_358_A Actor_358_B Actor_358_C,Director_358,A compelling story titled 'The Incredibles' that explores themes of crime and human nature.
The Intouchables,1999,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_359_A Actor_359_B Actor_359_C,Director_359,A compelling story titled 'The Intouchables' that explores themes of adventure and human nature.
The Irishman,2000,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_360_A Actor_360_B Actor_360_C,Director_360,A compelling story titled 'The Irishman' that explores themes of sci-fi and human nature.
The Iron Giant,2001,Drama Mystery Thriller,drama legacy destiny redemption,Actor_361_A Actor_361_B Actor_361_C,Director_361,A compelling story titled 'The Iron Giant' that explores themes of drama and human nature.
The Kid,2002,Action Crime Drama,action legacy destiny redemption,Actor_362_A Actor_362_B Actor_362_C,Director_362,A compelling story titled 'The Kid' that explores themes of action and human nature.
The Killer,2003,Comedy Drama Romance,comedy legacy destiny redemption,Actor_363_A Actor_363_B Actor_363_C,Director_363,A compelling story titled 'The Killer' that explores themes of comedy and human nature.
The King's Speech,2004,Crime Mystery Thriller,crime legacy destiny redemption,Actor_364_A Actor_364_B Actor_364_C,Director_364,A compelling story titled 'The King's Speech' that explores themes of crime and human nature.
The LEGO Movie,2005,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_365_A Actor_365_B Actor_365_C,Director_365,A compelling story titled 'The LEGO Movie' that explores themes of adventure and human nature.
The Last Samurai,2006,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_366_A Actor_366_B Actor_366_C,Director_366,A compelling story titled 'The Last Samurai' that explores themes of sci-fi and human nature.
The Lion King,2007,Drama Mystery Thriller,drama legacy destiny redemption,Actor_367_A Actor_367_B Actor_367_C,Director_367,A compelling story titled 'The Lion King' that explores themes of drama and human nature.
The Lion King (2019),2008,Action Crime Drama,action legacy destiny redemption,Actor_368_A Actor_368_B Actor_368_C,Director_368,A compelling story titled 'The Lion King (2019)' that explores themes of action and human nature.
The Lives of Others,2009,Comedy Drama Romance,comedy legacy destiny redemption,Actor_369_A Actor_369_B Actor_369_C,Director_369,A compelling story titled 'The Lives of Others' that explores themes of comedy and human nature.
The Lord of the Rings: The Fellowship of the Ring,2010,Crime Mystery Thriller,crime legacy destiny redemption,Actor_370_A Actor_370_B Actor_370_C,Director_370,A compelling story titled 'The Lord of the Rings: The Fellowship of the Ring' that explores themes of crime and human nature.
The Lord of the Rings: The Return of the King,2011,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_371_A Actor_371_B Actor_371_C,Director_371,A compelling story titled 'The Lord of the Rings: The Return of the King' that explores themes of adventure and human nature.
The Lord of the Rings: The Two Towers,2012,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_372_A Actor_372_B Actor_372_C,Director_372,A compelling story titled 'The Lord of the Rings: The Two Towers' that explores themes of sci-fi and human nature.
The Maltese Falcon,2013,Drama Mystery Thriller,drama legacy destiny redemption,Actor_373_A Actor_373_B Actor_373_C,Director_373,A compelling story titled 'The Maltese Falcon' that explores themes of drama and human nature.
The Man Who Shot Liberty Valance,2014,Action Crime Drama,action legacy destiny redemption,Actor_374_A Actor_374_B Actor_374_C,Director_374,A compelling story titled 'The Man Who Shot Liberty Valance' that explores themes of action and human nature.
The Manchurian Candidate,2015,Comedy Drama Romance,comedy legacy destiny redemption,Actor_375_A Actor_375_B Actor_375_C,Director_375,A compelling story titled 'The Manchurian Candidate' that explores themes of comedy and human nature.
The Martian,2016,Crime Mystery Thriller,crime legacy destiny redemption,Actor_376_A Actor_376_B Actor_376_C,Director_376,A compelling story titled 'The Martian' that explores themes of crime and human nature.
The Matrix,2017,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_377_A Actor_377_B Actor_377_C,Director_377,A compelling story titled 'The Matrix' that explores themes of adventure and human nature.
The Matrix Reloaded,2018,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_378_A Actor_378_B Actor_378_C,Director_378,A compelling story titled 'The Matrix Reloaded' that explores themes of sci-fi and human nature.
The Matrix Revolutions,2019,Drama Mystery Thriller,drama legacy destiny redemption,Actor_379_A Actor_379_B Actor_379_C,Director_379,A compelling story titled 'The Matrix Revolutions' that explores themes of drama and human nature.
The Menu,2020,Action Crime Drama,action legacy destiny redemption,Actor_380_A Actor_380_B Actor_380_C,Director_380,A compelling story titled 'The Menu' that explores themes of action and human nature.
The Night of the Hunter,2021,Comedy Drama Romance,comedy legacy destiny redemption,Actor_381_A Actor_381_B Actor_381_C,Director_381,A compelling story titled 'The Night of the Hunter' that explores themes of comedy and human nature.
The Past,2022,Crime Mystery Thriller,crime legacy destiny redemption,Actor_382_A Actor_382_B Actor_382_C,Director_382,A compelling story titled 'The Past' that explores themes of crime and human nature.
The Pianist,2023,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_383_A Actor_383_B Actor_383_C,Director_383,A compelling story titled 'The Pianist' that explores themes of adventure and human nature.
The Post,2024,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_384_A Actor_384_B Actor_384_C,Director_384,A compelling story titled 'The Post' that explores themes of sci-fi and human nature.
The Power of the Dog,1970,Drama Mystery Thriller,drama legacy destiny redemption,Actor_385_A Actor_385_B Actor_385_C,Director_385,A compelling story titled 'The Power of the Dog' that explores themes of drama and human nature.
The Prestige,1971,Action Crime Drama,action legacy destiny redemption,Actor_386_A Actor_386_B Actor_386_C,Director_386,A compelling story titled 'The Prestige' that explores themes of action and human nature.
The Princess Bride,1972,Comedy Drama Romance,comedy legacy destiny redemption,Actor_387_A Actor_387_B Actor_387_C,Director_387,A compelling story titled 'The Princess Bride' that explores themes of comedy and human nature.
The Salesman,1973,Crime Mystery Thriller,crime legacy destiny redemption,Actor_388_A Actor_388_B Actor_388_C,Director_388,A compelling story titled 'The Salesman' that explores themes of crime and human nature.
The Searchers,1974,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_389_A Actor_389_B Actor_389_C,Director_389,A compelling story titled 'The Searchers' that explores themes of adventure and human nature.
The Secret in Their Eyes,1975,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_390_A Actor_390_B Actor_390_C,Director_390,A compelling story titled 'The Secret in Their Eyes' that explores themes of sci-fi and human nature.
The Seventh Seal,1976,Drama Mystery Thriller,drama legacy destiny redemption,Actor_391_A Actor_391_B Actor_391_C,Director_391,A compelling story titled 'The Seventh Seal' that explores themes of drama and human nature.
The Shawshank Redemption,1977,Action Crime Drama,action legacy destiny redemption,Actor_392_A Actor_392_B Actor_392_C,Director_392,A compelling story titled 'The Shawshank Redemption' that explores themes of action and human nature.
The Shining,1978,Comedy Drama Romance,comedy legacy destiny redemption,Actor_393_A Actor_393_B Actor_393_C,Director_393,A compelling story titled 'The Shining' that explores themes of comedy and human nature.
The Shop Around the Corner,1979,Crime Mystery Thriller,crime legacy destiny redemption,Actor_394_A Actor_394_B Actor_394_C,Director_394,A compelling story titled 'The Shop Around the Corner' that explores themes of crime and human nature.
The Silence of the Lambs,1980,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_395_A Actor_395_B Actor_395_C,Director_395,A compelling story titled 'The Silence of the Lambs' that explores themes of adventure and human nature.
The Sixth Sense,1981,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_396_A Actor_396_B Actor_396_C,Director_396,A compelling story titled 'The Sixth Sense' that explores themes of sci-fi and human nature.
The Social Network,1982,Drama Mystery Thriller,drama legacy destiny redemption,Actor_397_A Actor_397_B Actor_397_C,Director_397,A compelling story titled 'The Social Network' that explores themes of drama and human nature.
The Sting,1983,Action Crime Drama,action legacy destiny redemption,Actor_398_A Actor_398_B Actor_398_C,Director_398,A compelling story titled 'The Sting' that explores themes of action and human nature.
The Suicide Squad,1984,Comedy Drama Romance,comedy legacy destiny redemption,Actor_399_A Actor_399_B Actor_399_C,Director_399,A compelling story titled 'The Suicide Squad' that explores themes of comedy and human nature.
The Terminator,1985,Crime Mystery Thriller,crime legacy destiny redemption,Actor_400_A Actor_400_B Actor_400_C,Director_400,A compelling story titled 'The Terminator' that explores themes of crime and human nature.
The Theory of Everything,1986,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_401_A Actor_401_B Actor_401_C,Director_401,A compelling story titled 'The Theory of Everything' that explores themes of adventure and human nature.
The Thin Red Line,1987,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_402_A Actor_402_B Actor_402_C,Director_402,A compelling story titled 'The Thin Red Line' that explores themes of sci-fi and human nature.
The Thing,1988,Drama Mystery Thriller,drama legacy destiny redemption,Actor_403_A Actor_403_B Actor_403_C,Director_403,A compelling story titled 'The Thing' that explores themes of drama and human nature.
The Third Man,1989,Action Crime Drama,action legacy destiny redemption,Actor_404_A Actor_404_B Actor_404_C,Director_404,A compelling story titled 'The Third Man' that explores themes of action and human nature.
The Truman Show,1990,Comedy Drama Romance,comedy legacy destiny redemption,Actor_405_A Actor_405_B Actor_405_C,Director_405,A compelling story titled 'The Truman Show' that explores themes of comedy and human nature.
The Twilight Saga: Breaking Dawn - Part 1,1991,Crime Mystery Thriller,crime legacy destiny redemption,Actor_406_A Actor_406_B Actor_406_C,Director_406,A compelling story titled 'The Twilight Saga: Breaking Dawn - Part 1' that explores themes of crime and human nature.
The Twilight Saga: Breaking Dawn - Part 2,1992,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_407_A Actor_407_B Actor_407_C,Director_407,A compelling story titled 'The Twilight Saga: Breaking Dawn - Part 2' that explores themes of adventure and human nature.
The Twilight Saga: Eclipse,1993,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_408_A Actor_408_B Actor_408_C,Director_408,A compelling story titled 'The Twilight Saga: Eclipse' that explores themes of sci-fi and human nature.
The Twilight Saga: New Moon,1994,Drama Mystery Thriller,drama legacy destiny redemption,Actor_409_A Actor_409_B Actor_409_C,Director_409,A compelling story titled 'The Twilight Saga: New Moon' that explores themes of drama and human nature.
The Twilight Saga: Twilight,1995,Action Crime Drama,action legacy destiny redemption,Actor_410_A Actor_410_B Actor_410_C,Director_410,A compelling story titled 'The Twilight Saga: Twilight' that explores themes of action and human nature.
The Untouchables,1996,Comedy Drama Romance,comedy legacy destiny redemption,Actor_411_A Actor_411_B Actor_411_C,Director_411,A compelling story titled 'The Untouchables' that explores themes of comedy and human nature.
The Usual Suspects,1997,Crime Mystery Thriller,crime legacy destiny redemption,Actor_412_A Actor_412_B Actor_412_C,Director_412,A compelling story titled 'The Usual Suspects' that explores themes of crime and human nature.
The Wages of Fear,1998,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_413_A Actor_413_B Actor_413_C,Director_413,A compelling story titled 'The Wages of Fear' that explores themes of adventure and human nature.
The Whale,1999,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_414_A Actor_414_B Actor_414_C,Director_414,A compelling story titled 'The Whale' that explores themes of sci-fi and human nature.
The Wild Bunch,2000,Drama Mystery Thriller,drama legacy destiny redemption,Actor_415_A Actor_415_B Actor_415_C,Director_415,A compelling story titled 'The Wild Bunch' that explores themes of drama and human nature.
The Wolf of Wall Street,2001,Action Crime Drama,action legacy destiny redemption,Actor_416_A Actor_416_B Actor_416_C,Director_416,A compelling story titled 'The Wolf of Wall Street' that explores themes of action and human nature.
There Will Be Blood,2002,Comedy Drama Romance,comedy legacy destiny redemption,Actor_417_A Actor_417_B Actor_417_C,Director_417,A compelling story titled 'There Will Be Blood' that explores themes of comedy and human nature.
Thirst,2003,Crime Mystery Thriller,crime legacy destiny redemption,Actor_418_A Actor_418_B Actor_418_C,Director_418,A compelling story titled 'Thirst' that explores themes of crime and human nature.
Thor: Ragnarok,2004,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_419_A Actor_419_B Actor_419_C,Director_419,A compelling story titled 'Thor: Ragnarok' that explores themes of adventure and human nature.
Throne of Blood,2005,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_420_A Actor_420_B Actor_420_C,Director_420,A compelling story titled 'Throne of Blood' that explores themes of sci-fi and human nature.
Titanic,2006,Drama Mystery Thriller,drama legacy destiny redemption,Actor_421_A Actor_421_B Actor_421_C,Director_421,A compelling story titled 'Titanic' that explores themes of drama and human nature.
To Kill a Mockingbird,2007,Action Crime Drama,action legacy destiny redemption,Actor_422_A Actor_422_B Actor_422_C,Director_422,A compelling story titled 'To Kill a Mockingbird' that explores themes of action and human nature.
Tokyo Story,2008,Comedy Drama Romance,comedy legacy destiny redemption,Actor_423_A Actor_423_B Actor_423_C,Director_423,A compelling story titled 'Tokyo Story' that explores themes of comedy and human nature.
Top Gun,2009,Crime Mystery Thriller,crime legacy destiny redemption,Actor_424_A Actor_424_B Actor_424_C,Director_424,A compelling story titled 'Top Gun' that explores themes of crime and human nature.
Top Gun: Maverick,2010,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_425_A Actor_425_B Actor_425_C,Director_425,A compelling story titled 'Top Gun: Maverick' that explores themes of adventure and human nature.
Touch of Evil,2011,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_426_A Actor_426_B Actor_426_C,Director_426,A compelling story titled 'Touch of Evil' that explores themes of sci-fi and human nature.
Toy Story,2012,Drama Mystery Thriller,drama legacy destiny redemption,Actor_427_A Actor_427_B Actor_427_C,Director_427,A compelling story titled 'Toy Story' that explores themes of drama and human nature.
Toy Story 2,2013,Action Crime Drama,action legacy destiny redemption,Actor_428_A Actor_428_B Actor_428_C,Director_428,A compelling story titled 'Toy Story 2' that explores themes of action and human nature.
Toy Story 3,2014,Comedy Drama Romance,comedy legacy destiny redemption,Actor_429_A Actor_429_B Actor_429_C,Director_429,A compelling story titled 'Toy Story 3' that explores themes of comedy and human nature.
Toy Story 4,2015,Crime Mystery Thriller,crime legacy destiny redemption,Actor_430_A Actor_430_B Actor_430_C,Director_430,A compelling story titled 'Toy Story 4' that explores themes of crime and human nature.
Trainspotting,2016,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_431_A Actor_431_B Actor_431_C,Director_431,A compelling story titled 'Trainspotting' that explores themes of adventure and human nature.
Triangle of Sadness,2017,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_432_A Actor_432_B Actor_432_C,Director_432,A compelling story titled 'Triangle of Sadness' that explores themes of sci-fi and human nature.
Troy,2018,Drama Mystery Thriller,drama legacy destiny redemption,Actor_433_A Actor_433_B Actor_433_C,Director_433,A compelling story titled 'Troy' that explores themes of drama and human nature.
Twelve Monkeys,2019,Action Crime Drama,action legacy destiny redemption,Actor_434_A Actor_434_B Actor_434_C,Director_434,A compelling story titled 'Twelve Monkeys' that explores themes of action and human nature.
Tár,2020,Comedy Drama Romance,comedy legacy destiny redemption,Actor_435_A Actor_435_B Actor_435_C,Director_435,A compelling story titled 'Tár' that explores themes of comedy and human nature.
Unforgiven,2021,Crime Mystery Thriller,crime legacy destiny redemption,Actor_436_A Actor_436_B Actor_436_C,Director_436,A compelling story titled 'Unforgiven' that explores themes of crime and human nature.
Up,2022,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_437_A Actor_437_B Actor_437_C,Director_437,A compelling story titled 'Up' that explores themes of adventure and human nature.
V for Vendetta,2023,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_438_A Actor_438_B Actor_438_C,Director_438,A compelling story titled 'V for Vendetta' that explores themes of sci-fi and human nature.
